url,stars,text,date
https://www.yelp.com/biz/il-buco-hamburg,5.0,"Fantastic little restaurant!Great staff and food. We had a good time dining here. The restaurant doesn't have a menu but tells you the different food that day. There was no a problem making a vegetarian option for my friend, and they made fresh homemade pasta filled with pear. Never tried it before, but it was fantastic!The area outside (Hansaplatz) is a bit shady with people sitting outside drinking all day.",2017-08-12
https://www.yelp.com/biz/campus-suite-hamburg-7,4.0,"We went there to grab some breakfast. They are not only a cafe but they also do lunch and other small snacks. I chose the soy yogurt with nuts and honey, which I found in their refrigerated section. They offer two different flavors of soy yogurt. They also have quite a big and tasty looking selection of sandwiches and bagels on display. Interior is nice and welcoming, prices are moderate, some are okay others are overpriced (2€ for fruit infused water) but all in all it's a great place for a quick breakfast or lunch.",2015-09-29
https://www.yelp.com/biz/campus-suite-hamburg-7,4.0,"Good coffee,  sandwiches,  and yogurts close to Marriott Hotel and much better value. Plenty of space and friendly staff.",2016-01-13
https://www.yelp.com/biz/campus-suite-hamburg-7,3.0,"When XING handed out coupons for free coffee drinks at the new Campus Suite, I was glad to give the place a test-run. Though I can't say I'm a big coffee shop sitter anymore - at least not at big, impersonal chain-type places - I figured it was worth a try.The jury's in: The new place isho-hum. Reminds me of any chain-type coffeeshop in any college town in the states. The woman behind the counter was nice, and I certainly prefer to support a student-run place over Starbuck$, but that's about it. The coffee was fine, but a bit cold and not strong enough. Mine at home is much better, as is the espresso at 'Delikatessen des Meeres' in the Colonnaden (my tip for great coffee and a great lunch, too). How about a new idea for a change?",2008-04-24
https://www.yelp.com/biz/campus-suite-hamburg-7,4.0,I love Campus Suite franchise. after the Balzac this is my favorite place to hangout in the morning. Campus have really low prices and quite good snacks which are even better than Balzac's. Lots of stuff for Bio & Eco lovers.,2010-01-15
https://www.yelp.com/biz/m%C3%A9lange-hamburg,4.0,"A really nice place for Sunday brunch in Hamburg.Considering its position just a stone's throw from the Rathausmarkt and Neuer Wall, it could easily use the same tactic as nearby places such as Alex at the Alsterpavillon or Mio on Jungfernstieg where the sheer number of tourists mean that they can ramp up prices and largely ignore good service.However at Melange this doesn't seem to be the case. For the equivalent of EUR10 per person for a hungry family of four we enjoyed a large range of breads, tea, hot chocolate, meats, cheeses, scrambled egg, croissants, Schwartzbrot, a glass of prosecco. Delicious!So you can sit in one of four places; either outside alongside the water (ask for blankets if you are cold), inside on the ground floor, but recommended especially on a cold day is the inside upper floor where there is a nice buzz and friendly crowd of tourists and locals plus it has a smaller outdoor balcony too. It's actually open from 9am on Sundays (earlier than many places) and from 10.30 gets really busy so expect a slight wait after this time.On the whole the staff are friendly and efficient, speak English and were very kind to our children.",2011-10-30
https://www.yelp.com/biz/m%C3%A9lange-hamburg,5.0,The best chicken sandwich I've ever had was from here! Super cute little cafe with delicious food. The staff is very friendly and service is great! It was right in the main area of Hamburg so very easy to find. I highly recommend!,2018-03-20
https://www.yelp.com/biz/m%C3%A9lange-hamburg,5.0,"Easily the best chicken sandwich I've ever had. Great views and convenient location centralized in Hamburg. Right in the water! Friendly service, a blend of Italian and French food. This was more of a tourist location than for the locals which easier to navigate and order. Nice place to rest your feet for a while and enjoy an excellent meal. Try the chicken sandwich!",2017-04-26
https://www.yelp.com/biz/m%C3%A9lange-hamburg,5.0,Lovely place for coffee or sandwich. Unpretentios and affordable inspite of location. Big enough to accomodate large groups. Wonderful service. First floor terrace overlooking Binenalster channel makes it even more attractive. What else to wish?,2008-12-07
https://www.yelp.com/biz/m%C3%A9lange-hamburg,4.0,"This is a new breakfast favorite. Have been coming here for some time and never wrote a review. We like sitting outside on the upstairs balcony. Great people watching as well as a great breakfast. When it's too cold we prefer sitting at the bar upstairs and eating there. The service is super nice and breakfast is pretty varied and always tasty. One argument I have is that the place tends to be a bit smoke filled if too many smokers are around. Somehow the place doesn't air out well and if there are a bunch of smoker around, we turn around and head elsewhere. Otherwise, a great place that's very central and comfortable. Great place to hit for breakfast followed by shopping in town. If you come, make sure to sit upstairs....downstairs is kinda boring and if it's nice outside, you can sit out front or upstairs on the balcony. Don't forget though that the balcony fills up real quick. They also have heating towers outside and blankets so even on colder days, the outdoor option is one to consider.",2007-10-27
https://www.yelp.com/biz/casa-di-roma-hamburg,5.0,"Wow highly recommend this place! I would come back here next time I visit Hamburg because the food was absolutely delicious. I had asparagus and ricotta ravioli and it was absolutely delicious. I'm not a huge fan of asparagus but it's asparagus season right now so it was fresh and delicious. In addition the ravioli was hand made earlier and was extremely fresh and just melted in your mouth. Without a doubt some of, if not, the best ravioli I've ever had. Would highly recommend visiting here if in Hamburg (just make sure you go to the right one) and I plan to come back. Also as a note they had an English menu which was extremely helpful!",2019-05-02
https://www.yelp.com/biz/casa-di-roma-hamburg,5.0,"Really excellent food.  Very nice atmosphere and friendly attentive staff.  Has two menus - Italian and English, both on huge chalkboard.  These are their daily specials.I'd come back!",2016-04-17
https://www.yelp.com/biz/casa-di-roma-hamburg,3.0,"I was in Hamburg for work and was brought here by a local who seemed to eat there regularly. The staff were very friendly and helpful and the atmosphere was what you expect from an expensive Italian Restaurant. One weird thing was the only English menu on offer was on a giant chalk board. A waiter brought it round and we had to choose there and then. It was different, but fine and had no negative impact on our experience. The food I chose was very good. I had Dover sole that was really tasty and then at the end we shared a huge plate with one of each of their desserts in it. Again it was very nice. If you like Italian food then this place will probably appeal to you. Just be aware it was also on the pricey side.",2013-09-17
https://www.yelp.com/biz/casa-di-roma-hamburg,5.0,"Great food , don't mind the waiters they might be pushy but at the end they are dealing with a language barrier, other than that even the price was great",2015-08-20
https://www.yelp.com/biz/casa-di-roma-hamburg,2.0,"I went to Casa di Roma a while ago, invited by a friend upon recommendation by the Hotel Atlantic's concierge. While the food was decent, but hardly anything to write home about, the attitude of one manager in particular was rather disgusting. It seemed as if he didn't have a particularly nice day and felt like sharing the feeling with both his employees and guests, which I found utterly unacceptable. The friendly waitress tending our table could only try to limit the damage. Needless to say, I shall never return to Casa di Roma. Since then (listen up, conspiracy theorists worldwide!) I've learned that Casa di Roma is rather frequently recommended by hotel concierges in Hamburg. Personally, I have to wonder why. (Second star awarded personally to the waitress.)",2010-10-27
https://www.yelp.com/biz/casa-di-roma-hamburg,2.0,"Very disappointed having made this a ""must do"" evert time I'm in town. The service was good. The lobster bisque Ok, and the penne beef pasta boring flat and not worth eating. My colleague ordered a gin and tonic and couldn't finish it. We ordered the tiramisu and there wasn't the hint of liquor in it - ""safe for all ages"". Not what I want from one of my favorite desserts.",2013-04-09
https://www.yelp.com/biz/casa-di-roma-hamburg,4.0,I had some of the best Calamari here that I have ever had.  The cocktails looked big and good. (A friend with me had a few of those).  I had two very large servings of that Bitte Hefe weissen which I really enjoyed.  The service was friendly and good.  They have a big board with the menu on it in German.  They will tell you what it is in English though if your German is not that good like mine. :),2011-08-04
